P.K. Subban,Montreal
Andrei Markov,Montreal
Henrik Sedin,Vancouver
Daniel Sedin,Vancouver
Tomas Plekanec,Montreal
Brendan Gallagher,Montreal
David Desharnais,Montreal
Alex Galchenyuk,Montreal
Max Pacioretty,Montreal
David Savard,Columbus
Tomas Fleischmann,Montreal
Ryan Murray,Columbus
Nick Foligno,Columbus
Scott Hartnell,Columbus
Nikita Kucherov,Tampa Bay
Jannik Hansen,Vancouver
Valtteri Filppula,Tampa Bay
Steven Stamkos,Tampa Bay
Jeff Petry,Montreal
Bo Horvat,Vancouver
Anton Stralman,Tampa Bay
Boone Jenner,Columbus
Dale Weise,Montreal
Nathan Beaulieu,Montreal
Vladislav Namestnikov,Tampa Bay
Braydon Coburn,Tampa Bay
Derek Dorsett,Vancouver
Jack Johnson,Columbus
Gregory Campbell,Columbus
Brian Flynn,Montreal
Lars Eller,Montreal
Jason Garrison,Tampa Bay
Tom Gilbert,Montreal
Matt Calvert,Columbus
Patrick Kane,Chicago
Tyler Seguin,Dallas
John Klingberg,Dallas
Jamie Benn,Dallas
John Gaudreau,Calgary
Artemi Panarin,Chicago
Kyle Okposo,New York Islanders
Henrik Zetterberg,Detroit
Blake Wheeler,Winnipeg
Mathieu Perreault,Winnipeg
Brent Seabrook,Chicago
Joe Thornton,San Jose
Victor Hedman,Tampa Bay
Bryan Little,Winnipeg
Brent Burns,San Jose
Joel Ward,San Jose
Alex Steen,St. Louis
Patrick Sharp,Dallas
Morgan Rielly,Toronto
Dion Phaneuf,Toronto
Joe Pavelski,San Jose
Jason Spezza,Dallas
Patrick Marleau,San Jose
Sean Monahan,Calgary
Tomas Tatar,Detroit
Cam Atkinson,Columbus
Alexander Edler,Vancouver
Troy Brouwer,St. Louis
Andrew Ladd,Winnipeg
Michael Frolik,Calgary
Jori Lehtera,St. Louis
Alex Pietrangelo,St. Louis
Dennis Wideman,Calgary
Frans Nielsen,New York Islanders
Dylan Larkin,Detroit
Jonathan Toews,Chicago
Justin Abdelkader,Detroit
Corey Perry,Anaheim
Anders Lee,New York Islanders
Johnny Boychuk,New York Islanders
Tomas Hertl,San Jose
Marc-Edouard Vlasic,San Jose
Niklas Kronwall,Detroit
Artem Anisimov,Chicago
Brandon Saad,Columbus
Brock Nelson,New York Islanders
Alexandre Burrows,Vancouver
Nikolaj Ehlers,Winnipeg
Vernon Fiddler,Dallas
Mikhail Grabovski,New York Islanders
Alex Killorn,Tampa Bay
Nikolai Kulemin,New York Islanders
Nazem Kadri,Toronto
Alex Goligoski,Dallas
Ryan Kesler,Anaheim
Justin Braun,San Jose
Toby Enstrom,Winnipeg
Mark Scheifele,Winnipeg
Gustav Nyquist,Detroit
Dustin Byfuglien,Winnipeg
David Backes,St. Louis
Sami Vatanen,Anaheim
Andrew Cogliano,Anaheim
Matt Bartkowski,Vancouver
Mikael Backlund,Calgary
Tommy Wingels,San Jose
Jay Bouwmeester,St. Louis
Tyler Myers,Winnipeg
Devante Smith-Pelly,Montreal
Adam Lowry,Winnipeg
Nick Leddy,New York Islanders
Trevor Daley,Chicago
James van Riemsdyk,Toronto
Drew Stafford,Winnipeg
Leo Komarov,Toronto
Mattias Janmark,Dallas
Casey Cizikas,New York Islanders
Chris Tierney,San Jose
Travis Hamonic,New York Islanders
Johnny Oduya,Dallas
Niklas Hjalmarsson,Chicago
Joffrey Lupul,Toronto
Cody Eakin,Dallas
P.A. Parenteau,Toronto
Ryan Callahan,Tampa Bay
Cam Fowler,Anaheim
Andrew Shaw,Chicago
Dougie Hamilton,Calgary
Alexander Burmistrov,Winnipeg
Carl Hagelin,Anaheim
Matt Martin,New York Islanders
Calvin de Haan,New York Islanders
Kris Russell,Calgary
Chris Tanev,Vancouver
Matt Stajan,Calgary
Carl Gunnarsson,St. Louis
Jakob Silfverberg,Anaheim
Kevin Bieksa,Anaheim
Mark Giordano,Calgary
Riley Sheahan,Detroit
Trevor van Riemsdyk,Chicago
William Karlsson,Columbus
Jacob Trouba,Winnipeg
Luke Glendening,Detroit
Brenden Dillon,San Jose
David Jones,Calgary
Cal Clutterbuck,New York Islanders
Chris Thorburn,Winnipeg
Kyle Brodziak,St. Louis
Mark Stuart,Winnipeg
Matt Hunwick,Toronto
Drew Miller,Detroit
Marcus Kruger,Chicago
Jonathan Ericsson,Detroit
Erik Karlsson,Ottawa
Taylor Hall,Edmonton
Mike Cammalleri,New Jersey
Nathan MacKinnon,Colorado
Bobby Ryan,Ottawa
Lee Stempniak,New Jersey
Ryan Johansen,Columbus
Mats Zuccarello,New York Rangers
Mika Zibanejad,Ottawa
Kris Versteeg,Carolina
Jeff Carter,Los Angeles
Evgeni Malkin,Pittsburgh
Oliver Ekman-Larsson,Arizona
Drew Doughty,Los Angeles
Kris Letang,Pittsburgh
Jonathan Huberdeau,Florida
Vladimir Tarasenko,St. Louis
Kyle Palmieri,New Jersey
Ryan O'Reilly,Buffalo
Jussi Jokinen,Florida
Jiri Hudler,Calgary
Nail Yakupov,Edmonton
Jake Muzzin,Los Angeles
Keith Yandle,New York Rangers
Matt Duchene,Colorado
Tyler Toffoli,Los Angeles
Max Domi,Arizona
Jarome Iginla,Colorado
Mikkel Boedker,Arizona
Derick Brassard,New York Rangers
Rasmus Ristolainen,Buffalo
Eric Staal,Carolina
Sidney Crosby,Pittsburgh
Tanner Pearson,Los Angeles
Ales Hemsky,Dallas
Francois Beauchemin,Colorado
Carl Soderberg,Colorado
Jakub Voracek,Philadelphia
Nick Holden,Colorado
Ben Hutton,Vancouver
Kyle Turris,Ottawa
Justin Faulk,Carolina
Phil Kessel,Pittsburgh
Claude Giroux,Philadelphia
Reilly Smith,Florida
Kevin Hayes,New York Rangers
Victor Rask,Carolina
Oscar Klefbom,Edmonton
Sam Bennett,Calgary
Teddy Purcell,Edmonton
J.T. Miller,New York Rangers
Chris Kreider,New York Rangers
Josh Bailey,New York Islanders
Cody Franson,Buffalo
Brian Campbell,Florida
Adam Henrique,New Jersey
Oscar Lindberg,New York Rangers
Vincent Trocheck,Florida
Anthony Duclair,Arizona
Derek Stepan,New York Rangers
Tobias Rieder,Arizona
Wayne Simmonds,Philadelphia
Brandon Pirri,Florida
Dan Girardi,New York Rangers
Marc Staal,New York Rangers
Nick Bjugstad,Florida
Milan Lucic,Los Angeles
Torrey Mitchell,Montreal
Aaron Ekblad,Florida
Radim Vrbata,Vancouver
Ryan McDonagh,New York Rangers
Dustin Brown,Los Angeles
J.T. Brown,Tampa Bay
Daniel Winnik,Toronto
Michael Stone,Arizona
Blake Comeau,Colorado
Shane Doan,Arizona
Jack Eichel,Buffalo
Teemu Pulkkinen,Detroit
Erik Johnson,Colorado
Patric Hornqvist,Pittsburgh
Matt Moulson,Buffalo
David Perron,Pittsburgh
Shawn Horcoff,Anaheim
Alec Martinez,Los Angeles
Hampus Lindholm,Anaheim
Shawn Matthias,Toronto
Derek MacKenzie,Florida
Dmitrij Jaskin,St. Louis
Matt Cullen,Pittsburgh
Jordie Benn,Dallas
Jacob Josefson,New Jersey
Jay McClement,Carolina
Anze Kopitar,Los Angeles
Milan Michalek,Ottawa
Sam Reinhart,Buffalo
Jamie McGinn,Buffalo
Jordan Staal,Carolina
Scott Laughton,Philadelphia
Chris Stewart,Anaheim
Matthew Nieto,San Jose
Brad Richardson,Arizona
Adam Larsson,New Jersey
Patrick Maroon,Anaheim
Ian Cole,Pittsburgh
Michael Del Zotto,Philadelphia
Andrej Sustr,Tampa Bay
Jared McCann,Vancouver
Cody McLeod,Colorado
Jean-Gabriel Pageau,Ottawa
Kevin Klein,New York Rangers
Matt Read,Philadelphia
Trevor Lewis,Los Angeles
Ron Hainsey,Carolina
Andy Greene,New Jersey
Jordin Tootoo,New Jersey
Mark Letestu,Edmonton
Erik Condra,Tampa Bay
Marian Gaborik,Los Angeles
Erik Gudbranson,Florida
Ben Lovejoy,Pittsburgh
Chris VandeVelde,Philadelphia
Chris Neil,Ottawa
Michael Raffl,Philadelphia
Nathan Gerbe,Carolina
Josh Gorges,Buffalo
Willie Mitchell,Florida
Deryk Engelland,Calgary
Joel Edmundson,St. Louis
Stephen Gionta,New Jersey
Kyle Clifford,Los Angeles
Brian Dumoulin,Pittsburgh
Jeff Skinner,Carolina
Klas Dahlbeck,Arizona
Jack Skille,Colorado
Elias Lindholm,Carolina
Alex Chiasson,Ottawa
Mark Borowiecki,Ottawa
Nick Schultz,Philadelphia
John-Michael Liles,Carolina
Boyd Gordon,Arizona
Chris Kunitz,Pittsburgh
Nick Shore,Los Angeles
Mike Brown,San Jose
Matt Carle,Tampa Bay
