Vitali Abramov (LW/RW)
Joey Anderson (RW)
Rasmus Asplund (C/LW)
Travis Barron (LW)
Nathan Bastian (RW/C)
Jake Bean (D)
Kieffer Bellows (C/LW)
Tyler Benson (LW)
Mikhail Berdin (G)
William Bitten (C)
Logan Brown (C)
Jacob Cederholm (D)
Jakob Chychrun (D)
Kale Clague (D)
Jonathan Dahlén (C/LW)
Sean Day (D)
Alex DeBrincat (C)
Dillon Dubé (C)
Pierre-Luc Dubois (LW/C)
Dante Fabbro (D)
Evan Fitzpatrick (G)
Julien Gauthier (RW)
Tim Gettinger (LW/RW)
Samuel Girard (D)
Luke Green (D)
James Greenway (D)
Carl Grundström (LW)
Filip Gustavsson (G)
Libor Hájek (D)
Carter Hart (G)
Brett Howden (C)
Max Jones (LW)
Tyson Jost (C/LW)
Olli Juolevi (D)
Tanner Kaspick (C/LW)
Boris Katchouk (LW)
Clayton Keller (C)
William Knierim (RW)
Chad Krys (D)
Jake Kryski (LW/C)
Luke Kunin (C)
Jordan Kyrou (C/RW)
Pascal Laberge (C)
Patrik Laine (RW/LW)
Max Lajoie (D)
Ryan Lindgren (D)
Adam Mascherin (C/LW)
Auston Matthews (C)
Charlie McAvoy (D)
Michael McLeod (C)
Victor Mete (D)
Markus Niemeläinen (D)
Alexander Nylander (RW/LW)
Jesse Puljujärvi (RW)
Taylor Raddysh (RW)
Tarmo Reunanen (D)
Kristians Rubins (D)
German Rubtsov (C)
Zach Sawchenko (G)
Mikhail Sergachyov (D)
Dmitri Sokolov (C)
Logan Stanley (D)
Sam Steel (C)
Vladislav Sukhachyov (G)
Tage Thompson (RW)
Matthew Tkachuk (LW)
Riley Tufte (LW)
Dylan Wells (G)
Wyatt Aamodt (D)
Rodrigo Abols (C)
Collin Adams (LW)
Denis Alexeyev (C)
Dmitri Alexeyev (D)
Frédéric Allard (D)
Wade Allison (RW)
Nik Amundrud (G)
Josh Anderson (D)
Jonathan Ang (C)
Domenico Argento (D)
Jamie Armstrong (LW)
Cameron Askew (C)
Parker Aucoin (C)
Yegor Babenko (RW)
Maxim Bain (LW)
Patrick Bajkov (LW/RW)
Mitchell Balmas (LW)
Matt Barberis (D)
Nikita Bashkirov (F)
River Beattie (RW)
Jérémie Beaudin (D)
Matous Belohorsky (LW)
Mikhail Belyayev (LW/RW)
Vasili Belyayev (D)
Quinn Benjafield (RW)
Christopher Berger (LW)
David Bernhardt (D)
Kyle Betts (C)
Bartek Bison (LW)
Sergei Bolshakov (G)
Gleb Bondaruk (F)
Matthew Boucher (LW)
Jesper Bratt (LW/RW)
Justin Brazeau (RW)
Adam Brizgala (G)
Ryan Brushett (C)
Vojtech Budik (D)
Dmitri Buinitsky (C/RW)
Connor Bunnaman (C)
Todd Burgess (RW)
Brayden Burke (C/LW)
Simon Butala (D)
Nicholas Caamano (RW)
Michael Campoli (D)
Cole Candella (D)
Noah Carroll (D)
Cole Carter (RW)
Konstantin Chernyuk (D)
Austin Cho (D)
Dennis Cholowski (D)
Nikolaj Krag Christensen (C/LW)
Blake Coffey (D)
Dylan Coghlan (D)
Luke Coleman (LW)
Domenic Commisso (C)
Evan Cormier (G)
Brandon Crawley (D)
Henry Crone (LW)
Brett Crossley (C)
Carter Czaikowski (D)
Charles-Édouard D'Astous (D)
Hugo Danielsson (D)
Derek Daschke (D)
Dawson Davidson (D)
Brendan De Jong (D)
Vincent De Mey (F)
Jeff de Wit (C)
David Deutsch (D)
Stephen Dhillon (G)
Josh Dickinson (C)
Matt Dillon (D)
Cam Dineen (D)
Jared Dmytriw (RW)
Danil Dolgushkin (D)
Lukas Doudera (D)
Konstantin Dubin (F)
Walker Duehr (F)
Jan Dufek (RW)
Samuel Duggan (C/LW)
Kyle Dumba (G)
Sam Dunn (D)
Lukas Durkech (D)
Tobias Eder (C)
Ryan Edquist (G)
Kaden Elder (RW)
Mitch Eliot (D)
Hudson Elynuik (LW/C)
Marcus Ersson (D)
Stepan Falkovsky (D)
William Fällström (C/LW)
Ty Farmer (D)
Justin Fazio (G)
Tye Felhaber (C)
Oliver Felixson (D)
Matt Filipe (C/LW)
Liam Finlay (RW)
Fredrik Forsberg (RW)
Maxime Fortier (RW/C)
Adam Fox (D)
Trent Fox (LW/C)
Elijah Francis (D)
Trent Frederic (C)
Matthew Freytag (LW)
Mathias From (RW/LW)
Callum Fryer (D)
Michal Gago (LW)
Dylan Gambrell (C)
Reid Gardiner (RW/C)
Morgan Geekie (C/RW)
Igor Geraskin (F)
Max Gerlach (C)
Keith Getson (LW)
Stephen Gibson (D)
Brandon Gignac (C)
Luke Gingras (C)
Benjamin Gleason (D)
Vasili Glotov (F)
Matt Gosiewski (C)
Michael Graham (F)
Colin Grannary (LW/RW)
Owen Grant (D)
Alexander Green (D)
Thomas Grégoire (D)
Noah Gregor (C)
Nikita Gromov (D)
Samuel Guilbault (LW)
Brandon Hagel (LW)
Mikael Hakkarainen (F)
Dalton Hamaliuk (D)
Bobby Hampton (C)
Dante Hannoun (C)
Patrick Harper (C)
Jacob Harris (LW)
Samuel Harvey (G)
Robert Havlat (F)
Marek Hecl (RW)
Matthew Hellickson (D)
Frantisek Hrdinka (D)
Dávid Hrenák (G)
Filip Hronek (D)
Mario Huber (RW/C)
Nadir Islyamov (D)
Severi Isokangas (G)
Artyom Ivanyuzhenkov (LW)
Juha Jääskä (LW/RW)
Billy Jerry (C)
Tyler Jette (D)
Ryan Jevne (RW)
Lucas Johansen (D)
Cole Johnson (C)
Kenny Johnson (D)
Grant Jozefek (RW)
Ondrej Kachyna (D)
Anton Kalte (C/LW)
Maxim Kalyayev (G)
Matyas Kantner (C)
Vladislav Kara (C)
Jiri Karafiat (RW)
Christoffer Karlsen (RW)
Ilya Karpukhin (D)
Alexander Katerinakis (RW)
Artur Kayumov (LW)
David Keefer (RW)
Luke Keenan (C)
Sahvan Khaira (D)
Matt Kiersted (D)
Paavo Kilponen (F)
Luke Kirwan (LW)
Maximilian Kislinger (C)
Kevin Klima (C)
Radek Koblizek (F)
Davis Koch (RW)
Otto Koivula (LW/RW)
Ilya Konovalov (G)
Jack Kopacka (LW)
Josef Korenar (G)
Yegor Korobkin (F)
Jeppe Jul Korsgaard (LW/RW)
Yegor Korshkov (RW)
Ivan Kosorenkov (RW)
Ivan Kovalyov (D)
Jan Koziak (G)
Roman Krikunenko (C/W)
Ryan Kubic (G)
Janne Kuokkanen (C)
Daniel Kurovský (LW)
Luke Kutkevicius (C)
Oula Kuure (F)
Andrei Kuzmenko (LW/RW)
Georgi Kuznetsov (G)
Vladimir Kuznetsov (LW/RW)
Matt Ladd (G)
Jack Lafontaine (G)
Michael Latorella (G)
Artur Lauta (RW/LW)
Leonid Lavrinenko (D)
Jared Legien (LW)
Jonathan Léman (D)
John Leonard (LW)
Filip Lestan (LW/RW)
Mitchell Lewandowski (LW)
Linus Lindström (C)
Cameron Lizotte (D)
Ilya Lobanov (D)
William Lockwood (RW)
Carter Long (D)
Vince Loschiavo (C)
Ben Lown (C)
Griffin Luce (D)
Alan Lyszczarczyk (C)
Jordan Maher (C)
Josh Mahura (D)
Nikita Makeyev (D)
Otto Mäkinen (F)
Kyle Maksimovich (LW)
Beck Malenstyn (C)
Dylan Malmquist (LW)
Artyom Maltsev (D)
Mikhail Maltsev (LW)
Daniel Marmenlind (G)
Joseph Masonius (D)
Brian Matthews (D)
Jesper Mattila (D)
Nicolas Mattinen (D)
Mitchell Mattson (C)
Nick McBride (G)
Kody McDonald (RW)
James McEwan (C)
Hugh McGing (C)
Luke McInnis (D)
Nicholas McKeeby (D)
Skyler McKenzie (C)
Ryely McKinstry (D)
Graham McPhee (LW)
Mikhail Meshcheryakov (C)
Keaton Middleton (D)
Christian Mieritz (D)
Sam Miletic (C/LW)
Marco Miranda (LW)
Vladimir Miroshnichenko (D)
Yevgeni Mityakin (F)
Joseph Mizzi (RW)
Sean Montgomery (C)
Hunter Moreau (LW)
Cameron Morrison (C/LW)
Jake Morrissey (G)
Jacob Moverare (D)
Liam Murphy (C)
Brett Murray (LW)
Justin Murray (D)
Matthew Murray (G)
Ondrej Najman (F)
Linus Nässén (D)
Valeri Naumenko (F)
Morgan Nauss (D)
Jacob Neveu (D)
Tyler Nother (D)
Markus Nurmi (RW)
Michael O'Leary (LW)
Kevin O'Neil (RW)
Oliver Olsson (C/LW)
Kamil Ondras (G)
Zachary Osburn (D)
Austin Osmanski (D)
Turner Ottenbreit (D)
Semyon Pankratov (F)
Christopher Paquette (C)
Rylan Parenteau (G)
Layton Parsons (LW)
Tyler Parsons (G)
Nick Pastujov (LW)
Denis Pätoprsty (RW)
Andrew Peeke (D)
William Pethrus (D)
Kirill Petkov (F)
Michael Pezzetta (C)
Matthew Phillips (C)
Miguel Picard (C)
Reilly Pickard (G)
Garrett Pilon (C)
Alexander Podkorytov (F)
Zachary Poirier (C)
Alexei Polodyan (F)
Alexander Poluektov (F)
Alexander Polunin (LW)
Nikita O. Popugayev (F)
Cody Porter (G)
Pavel Poryadin (F)
Nicolas Poulin (LW)
Brady Pouteau (D)
James Povall (G)
Chase Priskie (D)
Cliff Pu (C/RW)
David Quenneville (D)
Joseph Raaymakers (G)
Aapeli Räsänen (F)
Maxim Rasseikin (C)
Taden Rattie (RW)
Donovan Rehill (LW)
Kristian Reichel (C)
Nolan Reid (D)
Keenan Reynolds (LW/C)
Marshall Rifai (D)
Matteo Ritz (G)
Lee Roberts (RW/LW)
Michal Roman (D)
Ivan Romanov (LW)
Ty Ronning (RW)
Samuel Rossini (D)
Ville Ruokonen (G)
Arttu Ruotsalainen (C)
Yegor Rykov (D)
Drake Rymsha (C)
Pavel Ryzhenkov (D)
Brandon Saigeon (C)
Anthony Salinitri (C)
Dante Salituro (C)
Jordan Sambrook (D)
James Sanchez (LW)
Evan Sarthou (G)
Matt Sartoris (D)
Olivier Schingh-Gomez (D/LW)
Connor Schlichting (D)
Jacob Schmidt-Svejstrup (F)
Kay Schweri (RW)
Mathieu Sévigny (C)
Yegor Sharangovich (C)
David Sherman (LW)
Vyacheslav Shevchenko (C)
Igor Shvyryov (C)
Nicholas Sicoly (C)
Silvio Silvestre (G)
Givani Smith (LW)
Luc Smith (C/RW)
Tim Söderlund (C/LW)
Samuel Solenský (LW)
Otto Somppi (C)
Oleg Sosunov (D)
Ethan Spaxman (D)
Livio Stadler (D)
Oskar Stål Lyrenäs (RW)
Jordy Stallard (C)
Martin Starosta (D)
Oskar Steen (C/RW)
Tyler Steenbergen (C)
Simon Stransky (LW)
Filip Suchý (F)
Keenan Suthers (LW)
Andrei Svetlakov (C)
